platform,content,target_url,tracked_url
pinterest,bundle-fit,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=bundle-fit
pinterest,venue-receiving,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=venue-receiving
pinterest,mailer-fit,https://apexpackagingsolutions.com/services/mailer-boxes,https://apexpackagingsolutions.com/services/mailer-boxes?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=mailer-fit
pinterest,keepsake-insert,https://apexpackagingsolutions.com/services/protective-packaging,https://apexpackagingsolutions.com/services/protective-packaging?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=keepsake-insert
pinterest,bundle-rfq,https://apexpackagingsolutions.com/contact,https://apexpackagingsolutions.com/contact?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=bundle-rfq
linkedin,bundle-and-route,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=linkedin&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=bundle-and-route
facebook,three-checks,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=facebook&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=three-checks
instagram,three-checks,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=instagram&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=three-checks
x,receiving-brief,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=x&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=receiving-brief
threads,receiving-brief,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=threads&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=receiving-brief
youtube,shorts-three-checks,https://apexpackagingsolutions.com/locations/nashville-custom-packaging,https://apexpackagingsolutions.com/locations/nashville-custom-packaging?utm_source=youtube&utm_medium=organic_social&utm_campaign=2026-09-26-nashville-merchandise&utm_content=shorts-three-checks
